Ping,RTT (microseconds)
1,413
2,Timeout
3,702
4,450
5,292
6,Timeout
7,Timeout
8,Timeout
9,Timeout
10,492
11,305
12,Timeout
13,2022
14,Timeout
15,Timeout
16,Timeout
17,Timeout
18,Timeout
19,Timeout
20,Timeout
21,Timeout
22,Timeout
23,401
24,Timeout
25,246
26,Timeout
27,270
28,Timeout
29,278
30,259
31,242
32,Timeout
33,240
34,Timeout
35,212
36,Timeout
37,213
38,208
39,298
40,Timeout
41,Timeout
42,228
43,Timeout
44,1710
45,310
46,315
47,322
48,296
49,Timeout
50,219
51,Timeout
52,Timeout
53,595
54,Timeout
55,Timeout
56,Timeout
57,Timeout
58,Timeout
59,298
60,Timeout
61,Timeout
62,Timeout
63,Timeout
64,293
65,271
66,2617
67,382
68,Timeout
69,Timeout
70,254
71,248
72,Timeout
73,232
74,241
75,238
76,232
77,Timeout
78,279
79,Timeout
80,Timeout
81,253
82,Timeout
83,Timeout
84,423
85,Timeout
86,Timeout
87,313
88,Timeout
89,262
90,214
91,202
92,201
93,Timeout
94,Timeout
95,256
96,196
97,Timeout
98,248
99,229
100,Timeout
101,2099
102,403
103,Timeout
104,Timeout
105,269
106,234
107,223
108,Timeout
109,Timeout
110,Timeout
111,Timeout
112,276
113,250
114,Timeout
115,2853
116,Timeout
117,Timeout
118,Timeout
119,Timeout
120,307
121,213
122,Timeout
123,Timeout
124,Timeout
125,Timeout
126,Timeout
127,Timeout
128,Timeout
129,Timeout
130,405
131,284
132,Timeout
133,Timeout
134,Timeout
135,Timeout
136,236
137,224
138,221
139,210
140,Timeout
141,221
142,Timeout
143,256
144,2501
145,Timeout
146,234
147,Timeout
148,Timeout
149,Timeout
150,297
151,232
152,264
153,Timeout
154,Timeout
155,220
156,197
157,Timeout
158,Timeout
159,225
160,Timeout
161,Timeout
162,431
163,301
164,268
165,Timeout
166,Timeout
167,377
168,264
169,198
170,217
171,250
172,231
173,Timeout
174,Timeout
175,248
176,248
177,217
178,Timeout
179,Timeout
180,224
181,196
182,227
183,Timeout
184,Timeout
185,Timeout
186,Timeout
187,316
188,264
189,228
190,Timeout
191,592
192,Timeout
193,365
194,Timeout
195,251
196,Timeout
197,247
198,Timeout
199,235
200,Timeout
201,316
202,227
203,Timeout
204,227
205,282
206,221
207,Timeout
208,1102
209,218
210,Timeout
211,Timeout
212,379
213,261
214,Timeout
215,Timeout
216,Timeout
217,316
218,Timeout
219,246
220,Timeout
221,Timeout
222,1225
223,Timeout
224,Timeout
225,Timeout
226,Timeout
227,276
228,Timeout
229,238
230,211
231,210
232,Timeout
233,227
234,211
235,Timeout
236,240
237,Timeout
238,Timeout
239,218
240,Timeout
241,Timeout
242,Timeout
243,274
244,257
245,Timeout
246,478
247,398
248,Timeout
249,Timeout
250,252
251,Timeout
252,Timeout
253,Timeout
254,Timeout
255,263
256,Timeout
257,247
258,Timeout
259,349
260,Timeout
261,Timeout
262,274
263,Timeout
264,247
265,Timeout
266,281
267,Timeout
268,259
269,375
270,234
271,Timeout
272,245
273,199
274,Timeout
275,Timeout
276,Timeout
277,597
278,258
279,Timeout
280,Timeout
281,Timeout
282,Timeout
283,317
284,Timeout
285,229
286,Timeout
287,Timeout
288,364
289,Timeout
290,Timeout
291,680
292,277
293,Timeout
294,Timeout
295,267
296,Timeout
297,Timeout
298,Timeout
299,239
300,Timeout
301,298
302,241
303,222
304,Timeout
305,268
306,Timeout
307,Timeout
308,Timeout
309,337
310,250
311,Timeout
312,253
313,Timeout
314,Timeout
315,Timeout
316,243
317,Timeout
318,Timeout
319,269
320,Timeout
321,380
322,2740
323,Timeout
324,297
325,Timeout
326,Timeout
327,254
328,Timeout
329,233
330,202
331,Timeout
332,230
333,214
334,Timeout
335,254
336,267
337,228
338,217
339,206
340,193
341,Timeout
342,Timeout
343,Timeout
344,2342
345,458
346,Timeout
347,Timeout
348,256
349,Timeout
