Ping,RTT (microseconds)
1,452
2,284
3,233
4,204
5,202618
6,209525
7,325
8,223
9,247
10,215
11,230
12,236
13,236
14,244993
15,242
16,220
17,222
18,205
19,231
20,233
21,223
22,211
23,213
24,209
25,202
26,214
27,219
28,220
29,191
30,210
31,200
32,199
33,231
34,226
35,256
36,410762
37,255
38,224
39,207517
40,249
41,219
42,219
43,219
44,216
45,232
46,208
47,217
48,204
49,242
50,205143
51,281
52,291
53,245
54,232
55,207
56,191
57,214715
58,218299
59,241
60,224
61,221
62,222
63,228
64,284
65,199
66,203335
67,256536
68,258
69,213
70,463828
71,242
72,232
73,207
74,230
75,422076
76,288
77,207648
78,299
79,222
80,198
81,223
82,222
83,235
84,209
85,206435
86,308
87,247
88,225
89,224
90,198
91,217
92,219
93,233
94,204
95,230070
96,243
97,197
98,226
99,213
100,205
101,203
102,204
103,265
104,214254
105,242
106,234
107,207270
108,267
109,213
110,233
111,198
112,235
113,211
114,217
115,209
116,215
117,206238
118,256
119,262834
120,316
121,232
122,247473
123,271
124,242
125,218
126,207592
127,567269
128,294
129,206
130,226
131,223
132,222
133,210
134,207453
135,249
136,262903
137,317
138,228
139,238
140,213
141,215
142,222
143,222444
144,209436
145,238
146,219
147,220
148,197
149,200
150,493487
151,305
152,242
153,246
154,206
155,233
156,207211
157,258
158,223
159,208415
160,295
161,264
162,233
163,204
164,219
165,210
166,203
167,244349
168,418217
169,227
170,216
171,221
172,215
173,206136
174,230
175,349
176,254448
177,392
178,300
179,229
180,218
181,213
182,206
183,213
184,203
185,429570
186,208724
187,209495
188,301649
189,304
190,224
191,527391
192,296
193,417183
194,374239
195,320
196,221
197,239
198,223
199,294785
200,321
201,231
202,233
203,205
204,208526
205,244
206,230
207,207556
208,232
209,242
210,238
211,206609
212,279
213,206
214,237
215,211
216,235
217,203
218,198
219,223
220,230
221,207
222,198
223,206639
224,271
225,235
226,260
227,206199
228,245
229,278495
230,310
231,295
232,228
233,224
234,198
235,205
236,218
237,230078
238,208917
239,210093
240,308639
241,278
242,211
243,233
244,527625
245,306
246,225
247,217
248,237
249,212
250,211
251,518267
252,324
253,416228
254,447347
255,291
256,243
257,209125
258,238
259,219
260,253578
261,283
262,223
263,238
264,229
265,214
266,227
267,229
268,223
269,207735
270,255
271,208
272,214
273,213
274,223
275,212
276,212
277,201
278,208
279,220075
280,278
281,238
282,237
283,241
284,212
285,207960
286,239
287,230
288,254
289,203
290,215
291,211
292,226
293,233
294,205
295,215
296,212
297,226
298,411874
299,296
300,216
301,208623
302,242
303,211
304,220
305,217
306,230
307,203
308,212
309,239
310,217
311,226
312,206197
313,232
314,209
315,345
316,621411
317,721
318,242
319,225
320,217
321,215
322,211
323,222
324,218
325,207
326,224
327,207
328,204865
329,328
330,232897
331,245
332,204
333,229
334,233
335,221
336,194
337,223
338,202
339,196
340,227
341,198
342,220
343,411641
344,295
345,236
346,264
347,212
348,206908
349,335
350,213
351,276
352,200
353,241
354,253
355,255902
356,242
357,206
358,223
359,214
360,220
361,203
362,204942
363,209909
364,288
365,210
366,295064
367,253
368,606800
369,262
370,236
371,256
372,242
373,223
374,206
375,231
376,211
377,245
378,212952
379,296
380,213
381,206
382,218
383,196
384,206836
385,289852
386,414030
387,343
388,207751
389,284
390,224
391,208
392,229
393,213
394,206782
395,304378
396,266
397,214
398,218
399,216
400,236
401,211
402,219
403,205
404,204
405,218
406,200
407,214
408,209
409,207
410,215
411,212
412,201
413,199
414,213089
415,249
416,217
417,232
418,194
419,248
420,229
421,239
422,235
423,226
424,220
425,221
426,204754
427,242
428,231
429,216
430,199
431,203
432,206560
433,415076
434,447614
435,322
436,222
437,231
438,223
439,229
440,211
441,221
442,226
443,210
444,209
445,203
446,227
447,210
448,213
449,205554
450,239
451,221
452,209
453,215
454,203
455,212
456,206
457,234
458,203
459,206
460,232
461,212766
462,308
463,251
464,208424
465,246
466,207311
467,239
468,228
469,237
470,229
471,224
472,203
473,208
474,205501
475,341
476,207585
477,298707
478,358179
479,249
480,212
481,220
482,254651
483,207237
484,294
485,219
486,215
487,214
488,208
489,206728
490,307
491,222
492,214
493,209
494,203
495,256766
496,240
497,413639
498,318
499,231
500,212
501,207137
502,356
503,288475
504,222
505,210
506,240
507,200
508,206136
509,296928
510,279
511,228
512,264940
513,227
514,241
515,233
516,276
517,248
518,461644
519,234
520,232
521,230
522,224
523,226
524,192
525,213
526,207
527,213248
528,253
529,205
530,234
531,235
532,219
533,221
534,228
535,222
536,205
537,216
538,208
539,213137
540,278
541,227
542,216
543,234
544,202
545,250
546,197
547,225
548,214
549,204
550,200
551,200
552,202
553,208
554,217
555,198
556,209
557,251
558,253
559,203416
560,322
561,254
562,215
563,246
564,222
565,206540
566,321
567,241
568,257
569,209
570,242
571,243
572,250
573,230579
574,337
575,289
576,218
577,268
578,213
579,218
580,271
581,315
582,353
583,213758
584,249
585,199
586,207518
587,211158
588,243
589,204193
590,229
591,206
592,218
593,201
594,195
595,211
596,215
597,221
598,199
599,209
600,204901
601,297
602,228
603,226
604,223
605,224251
606,253
607,240
608,256
609,226
610,213
611,197
612,221
613,221
614,214406
615,243
616,263
617,217
618,207
619,222
620,205155
621,278
622,246
623,217
624,464206
625,224395
626,206439
627,300
628,225
629,202
630,232
631,214
632,245
633,197
634,413868
635,317
636,225
637,250
638,214
639,199
640,215311
641,207468
642,265418
643,269
644,222
645,227
646,227
647,236
648,199
649,226
650,208
651,251
652,312
653,290
654,264
655,213718
656,217579
657,203999
658,307
659,225
660,207538
661,359
662,261
663,241
664,229
665,255230
666,247
667,224
668,210
669,225
670,238
671,200
672,212
673,222859
674,232
675,247
676,206057
677,281
678,219
679,201
680,234
681,231628
682,238
683,211
684,230
685,223258
686,240
687,229
688,212
689,205
690,225
691,211
692,208354
693,239
694,213
695,246
696,204
697,237
698,196
699,230
700,226
701,221
702,214
703,232
704,249
705,285
706,223
707,215
708,217
709,209717
710,624089
711,207564
712,303
713,248
714,228
715,215
716,241
717,208
718,208
719,220
720,215040
721,232
722,234
723,221
724,423732
725,340
726,224
727,218
728,213
729,206843
730,252
731,214
732,226
733,212
734,219
735,211
736,206
737,198
738,223
739,198
740,227
741,234
742,202
743,205
744,216
745,205364
746,233
747,205602
748,311
749,215
750,245
751,229
752,232
753,207
754,228
755,204
756,220
757,203
758,209
759,215
760,195
761,232
762,213795
763,248
764,201
765,236
766,243
767,239
768,208
769,212
770,203
771,207
772,214
773,222
774,251
775,204147
776,234
777,203
778,208039
779,246
780,219
781,225
782,255
783,1280
784,235
785,234
786,194
787,205079
788,279
789,230
790,220
791,204
792,225
793,218
794,211
795,214
796,196
797,204841
798,209561
799,206070
800,320
801,415484
802,303
