Ping,RTT (microseconds)
1,Timeout
2,Timeout
3,Timeout
4,Timeout
5,Timeout
6,Timeout
7,Timeout
8,Timeout
9,Timeout
10,Timeout
11,Timeout
12,Timeout
13,Timeout
14,Timeout
15,Timeout
16,Timeout
17,Timeout
18,Timeout
19,Timeout
20,Timeout
21,485
22,342
23,Timeout
24,Timeout
25,Timeout
26,Timeout
27,Timeout
28,Timeout
29,Timeout
30,Timeout
31,Timeout
32,Timeout
33,Timeout
34,Timeout
35,Timeout
36,Timeout
37,Timeout
38,Timeout
39,313
40,Timeout
41,Timeout
42,Timeout
43,Timeout
44,Timeout
45,Timeout
46,Timeout
47,Timeout
48,Timeout
49,Timeout
50,Timeout
51,Timeout
52,Timeout
53,Timeout
54,Timeout
55,Timeout
56,Timeout
57,Timeout
58,Timeout
59,Timeout
60,Timeout
61,Timeout
62,Timeout
63,Timeout
64,Timeout
65,Timeout
66,Timeout
67,Timeout
68,Timeout
69,Timeout
70,Timeout
71,Timeout
72,Timeout
73,Timeout
74,Timeout
75,Timeout
76,Timeout
77,Timeout
78,Timeout
79,Timeout
80,Timeout
81,Timeout
82,Timeout
83,Timeout
84,Timeout
85,285
86,Timeout
87,Timeout
88,Timeout
89,Timeout
90,Timeout
91,Timeout
92,Timeout
93,Timeout
94,Timeout
95,Timeout
96,Timeout
97,Timeout
98,Timeout
99,Timeout
100,Timeout
101,Timeout
102,Timeout
103,Timeout
104,Timeout
105,Timeout
106,Timeout
107,Timeout
108,Timeout
109,Timeout
110,Timeout
111,Timeout
112,Timeout
113,Timeout
114,Timeout
115,Timeout
116,Timeout
117,Timeout
118,Timeout
119,Timeout
120,Timeout
121,Timeout
122,Timeout
123,Timeout
124,Timeout
125,Timeout
126,Timeout
127,Timeout
128,Timeout
129,354
130,Timeout
131,Timeout
132,Timeout
133,Timeout
134,Timeout
135,Timeout
136,Timeout
137,Timeout
138,Timeout
139,Timeout
140,Timeout
141,Timeout
142,Timeout
143,Timeout
144,Timeout
145,Timeout
146,Timeout
147,Timeout
148,Timeout
149,Timeout
150,Timeout
151,Timeout
152,Timeout
153,Timeout
154,Timeout
155,Timeout
156,Timeout
157,Timeout
158,Timeout
159,Timeout
160,Timeout
161,Timeout
162,Timeout
163,Timeout
164,Timeout
165,Timeout
166,Timeout
167,Timeout
168,Timeout
169,Timeout
170,Timeout
171,Timeout
172,Timeout
173,Timeout
174,Timeout
175,340
176,Timeout
177,535
178,Timeout
179,Timeout
180,Timeout
181,Timeout
182,Timeout
183,Timeout
184,Timeout
185,Timeout
186,Timeout
187,Timeout
188,Timeout
189,Timeout
190,Timeout
191,Timeout
192,Timeout
193,Timeout
194,232
195,216
196,Timeout
197,Timeout
198,Timeout
199,Timeout
200,Timeout
201,Timeout
202,Timeout
203,Timeout
204,Timeout
205,Timeout
206,Timeout
207,Timeout
208,Timeout
209,Timeout
210,Timeout
211,Timeout
212,Timeout
213,Timeout
214,Timeout
215,Timeout
216,Timeout
217,Timeout
218,Timeout
219,Timeout
220,Timeout
221,Timeout
222,Timeout
223,Timeout
224,Timeout
225,Timeout
226,Timeout
227,Timeout
228,Timeout
229,Timeout
230,Timeout
231,Timeout
232,Timeout
233,Timeout
234,Timeout
235,Timeout
236,264
237,Timeout
238,Timeout
239,Timeout
240,Timeout
241,Timeout
242,Timeout
243,Timeout
244,Timeout
245,Timeout
246,Timeout
247,Timeout
248,Timeout
249,Timeout
250,Timeout
251,Timeout
252,Timeout
253,Timeout
254,Timeout
255,Timeout
256,Timeout
257,Timeout
258,Timeout
259,Timeout
260,Timeout
261,Timeout
262,Timeout
263,Timeout
264,Timeout
265,Timeout
266,Timeout
267,Timeout
268,Timeout
269,Timeout
270,Timeout
271,Timeout
272,Timeout
273,Timeout
274,Timeout
275,Timeout
276,Timeout
277,Timeout
278,Timeout
279,Timeout
280,Timeout
281,Timeout
282,Timeout
283,Timeout
284,Timeout
285,Timeout
286,Timeout
287,Timeout
288,Timeout
289,533
290,Timeout
291,Timeout
292,Timeout
293,Timeout
294,Timeout
295,Timeout
296,Timeout
297,Timeout
298,Timeout
299,Timeout
300,Timeout
301,Timeout
302,Timeout
303,Timeout
304,Timeout
305,Timeout
306,Timeout
307,Timeout
308,Timeout
309,349
310,Timeout
311,Timeout
312,Timeout
313,Timeout
314,Timeout
315,Timeout
316,Timeout
317,Timeout
318,Timeout
319,Timeout
320,Timeout
321,Timeout
322,Timeout
323,Timeout
324,Timeout
325,Timeout
326,Timeout
327,Timeout
328,Timeout
329,Timeout
330,Timeout
331,Timeout
332,Timeout
333,Timeout
334,Timeout
335,Timeout
336,Timeout
337,Timeout
338,Timeout
339,Timeout
340,Timeout
341,Timeout
342,Timeout
343,Timeout
344,Timeout
345,Timeout
346,Timeout
347,Timeout
348,Timeout
349,Timeout
350,Timeout
351,Timeout
352,Timeout
353,Timeout
354,Timeout
355,Timeout
356,Timeout
357,Timeout
358,Timeout
359,Timeout
360,Timeout
361,Timeout
362,Timeout
363,Timeout
364,Timeout
365,Timeout
366,Timeout
367,Timeout
368,Timeout
369,Timeout
370,672
371,Timeout
372,Timeout
373,Timeout
374,Timeout
375,Timeout
376,Timeout
377,Timeout
378,Timeout
379,Timeout
380,Timeout
381,Timeout
382,Timeout
383,Timeout
384,Timeout
385,Timeout
386,Timeout
387,Timeout
388,Timeout
389,Timeout
390,Timeout
391,Timeout
392,Timeout
393,Timeout
394,Timeout
395,Timeout
396,Timeout
397,Timeout
398,Timeout
399,Timeout
400,Timeout
401,Timeout
402,Timeout
403,651
404,Timeout
405,Timeout
406,Timeout
407,Timeout
408,Timeout
409,Timeout
410,Timeout
411,Timeout
412,Timeout
413,Timeout
414,Timeout
415,Timeout
416,Timeout
417,Timeout
418,Timeout
419,Timeout
420,Timeout
421,Timeout
422,Timeout
423,Timeout
424,Timeout
425,Timeout
426,Timeout
427,Timeout
428,Timeout
429,Timeout
430,Timeout
431,Timeout
432,Timeout
433,Timeout
434,520
435,Timeout
436,Timeout
437,Timeout
438,Timeout
439,Timeout
440,Timeout
441,Timeout
442,Timeout
443,Timeout
444,Timeout
445,Timeout
446,Timeout
447,Timeout
448,Timeout
449,Timeout
450,Timeout
451,Timeout
452,454
453,Timeout
454,2962
455,Timeout
456,Timeout
457,Timeout
458,Timeout
459,Timeout
460,554
461,Timeout
462,Timeout
463,Timeout
464,Timeout
465,Timeout
466,Timeout
467,Timeout
468,Timeout
469,542
470,Timeout
471,Timeout
472,Timeout
473,Timeout
474,Timeout
475,Timeout
476,Timeout
477,Timeout
478,Timeout
479,Timeout
480,Timeout
481,Timeout
482,Timeout
483,Timeout
484,Timeout
485,Timeout
486,Timeout
487,Timeout
488,Timeout
489,Timeout
490,Timeout
491,Timeout
492,Timeout
493,Timeout
494,Timeout
495,Timeout
496,Timeout
497,Timeout
498,Timeout
499,Timeout
500,Timeout
501,Timeout
502,Timeout
503,Timeout
504,Timeout
505,Timeout
506,Timeout
507,Timeout
508,Timeout
509,Timeout
510,Timeout
511,Timeout
512,Timeout
513,Timeout
514,Timeout
515,554
516,Timeout
517,Timeout
518,604
519,Timeout
520,Timeout
521,Timeout
522,4373
523,Timeout
524,Timeout
525,Timeout
526,455
527,Timeout
528,Timeout
529,Timeout
530,Timeout
531,Timeout
532,Timeout
533,Timeout
534,Timeout
535,Timeout
536,Timeout
537,Timeout
538,Timeout
539,Timeout
540,Timeout
541,Timeout
542,Timeout
543,Timeout
544,Timeout
545,Timeout
546,Timeout
547,Timeout
548,Timeout
549,Timeout
550,Timeout
551,Timeout
552,Timeout
553,Timeout
554,Timeout
555,Timeout
556,Timeout
557,Timeout
558,Timeout
559,Timeout
560,Timeout
561,Timeout
562,Timeout
563,Timeout
564,Timeout
565,Timeout
566,Timeout
567,Timeout
568,Timeout
569,Timeout
570,Timeout
571,Timeout
572,316
573,Timeout
574,Timeout
575,Timeout
576,Timeout
577,Timeout
578,Timeout
579,Timeout
580,Timeout
581,293
582,Timeout
583,Timeout
584,Timeout
585,Timeout
586,Timeout
587,Timeout
588,Timeout
589,Timeout
590,Timeout
591,251
592,Timeout
593,Timeout
594,Timeout
595,Timeout
596,Timeout
597,Timeout
598,Timeout
599,Timeout
600,Timeout
601,Timeout
602,Timeout
603,Timeout
604,Timeout
605,Timeout
606,Timeout
607,Timeout
608,Timeout
609,Timeout
610,Timeout
611,Timeout
612,Timeout
613,Timeout
614,Timeout
615,Timeout
616,Timeout
617,Timeout
618,Timeout
619,Timeout
620,Timeout
621,Timeout
622,Timeout
623,Timeout
624,Timeout
625,Timeout
626,Timeout
627,Timeout
628,Timeout
629,Timeout
630,Timeout
631,Timeout
632,Timeout
633,Timeout
634,Timeout
635,Timeout
636,Timeout
637,244
638,Timeout
639,Timeout
640,Timeout
641,Timeout
642,Timeout
643,Timeout
644,Timeout
645,Timeout
646,Timeout
647,Timeout
648,Timeout
